Title	Address	Phone	Categories
SCS Express Industrial Electronics Repair	Altamira Liscarroll Mallow   Co. Cork	(022)48577	['Electronic Equipment']
Aquamask Ireland Ltd	Clonroad bus ctr Clonroad Ennis   Co. Clare	(065)6842744	['Engraving Equipment', 'Engraving Equipment']
Roland Ireland	Calmount ave Calmount pk   12	(01)4294444	['Engraving Equipment']
Dix Philip J & Co Ltd	6 Aston qy Dublin  2	(01)6717144	['Engraving Equipment']
Armour Locksmiths		(091) 563 331	['Engraving Equipment']
Michael McGroarty Monumental Sculptor Ltd		(074) 973 5318	['Engraving Equipment']
Redhills Engraving Ltd	Killynure Redhills Cavan    Co. Cavan	(047)55042	['Engraving Equipment']
Haynes & Associates Building Surveyors	Neptune House, Victoria Rd, Cork,	(021)4323677	['Fire and Flood Damage Repairs', 'Fire and Flood Damage Repairs']
Advanced Fire & Flood Restoration Ltd	Cork  Co. Cork	(021)4634064	['Fire and Flood Damage Repairs']
Downey Fire & Flood Damage Repairs	Tower Blarney  Co. Cork	(021)4516901	['Fire and Flood Damage Repairs']
Aspray	Cork City & County   Co. Cork	(021)2427660	['Fire and Flood Damage Repairs']
Advance Maintenance Ltd	Douglas & Glanmire	(021)4866133	['Fire and Flood Damage Repairs']
Seal Harbour Enterprises	Seal Harbour Glengarriff   P75 H361 Co. Cork	(027)63085	['Fish Farms', 'Fish Farms']
Lynch's Fish Farm	Drombeg Ardgroom Beara    Co. Cork	(027)74286	['Fish Farms', 'Fish Farms']
Araglen Valley Trout Farm Ltd	Araglen Kilworth Cork    Co. Cork	(058)50049	['Fish Farms', 'Fish Farms']
Cuan Baoi Seafarm Ltd	Killavanogue Bantry    Co. Cork	(027)51368	['Fish Farms']
Morenet Teo	Tiernee Ind Est Lettermore  H91W529 Co. Galway	(091)551144	['Fish Farms']
Redbank Hatchery	New Quay Burren   Co. Clare	(065)7078189	['Fish Farms']
Coastal Cages Ltd	Ballymoon Kilcar    Co. Donegal	(074)9738406	['Fish Farms']
Skretting	Roman Island Westport    Co. Mayo	(098)26677	['Fish Farms']
IDAS Trout	PO Box 31 Woodbridge Arklow Co Wicklow  Co. Wicklow	(0402)36535	['Fish Farms']
Cresent Seafoods Ltd	Mytilus Ballaghablake Curracloe Enniscorthy   Co. Wexford	(053)9137729	['Fish Farms']
Mantle Peter	Delphi ldge Leenane    Co. Galway	(095)42211	['Fish Farms']
Dooriel Fisheries Ltd	Dooriel Ballycroy Westport   F28TD30 Co. Mayo	(098)49244	['Fish Farms']
Eany Fish Products Ltd	Inver   Co. Donegal	(074)9736318	['Fish Farms']
Irish Salmon Growers Assoc Ltd	Irish Farm  ctr Bluebell Dublin 12	(01)4508755	['Fish Farms']
Eisc Úi Flatharta	Ardmore Kilkerrin    Co. Galway	(095)32208	['Fish Farms']
North West Clam Marketing Group The	Tullyhill Rathcormack    Co. Sligo	(071)9142990	['Fish Farms', 'Fish Farms']
Muir Gheal Teo	Tiernee Lettermore    Co. Galway	(091)551150	['Fish Farms']
Mannin Bay Salmon Co Ltd	Drinagh Errislannan Clifden Co.Galway	(095)21262	['Fish Farms']
PDS Irish Waters Perch Ltd	Knockaughey Corlesmore   Co. Cavan	(043)6683910	['Fish Farms']
Oisre Traigheanna	23 Drumlaghdrid Lettermacaward   Co. Donegal	(074)9521188	['Fish Farms']
Caulfield Logistics Ltd	Gloundave Carriganima   P12 EW64 Co. Cork	(021) 6017991	['Freight Forwarding Companies']
Redmond International Freight Services Ltd	U3 Airways Pk Kinsale rd Cork	(021)4316606	['Freight Forwarding Companies']
Aaltonen Removals & Storage	Barnagore Ovens    Co. Cork	(021)4872405	['Freight Forwarding Companies']
Aramex	Unit E Barryscourt Business Park, Carrigtwohill,   Co. Cork	(021)4881122	['Freight Forwarding Companies']
Allied Forwarding	Unit 9 Airport East Bus Pk Farmers X Ballygarvan Co. Cork	(021)4311577	['Freight Forwarding Companies', 'Freight Forwarding Companies']
Kilo Transport		(025) 67520	['Freight Forwarding Companies', 'Heavy Haulage']
Murphy Sheehy Ltd	2 cranford centre Montros  stillorgan road donnybrook Dublin 4	(01)2020642	['Fabric Suppliers', 'Fabric Suppliers']
Pat Enright Glass & Glazing	Ballydaheen Ind Est Mallow   Co. Cork	(022)50450	['Glass &amp; Glazers']
Your Chimney Sweep		(022) 22929	['Glass &amp; Glazers']
Mallow Windscreen Centre	Lr Bearforest, Co. Cork	(022)43217	['Glass &amp; Glazers', 'Glass &amp; Glazers']
Allied Irish Windscreens	Mallow  Co. Cork	(021)4826635	['Glass &amp; Glazers']
Gallagher Glass Fibre Products	Quartertown Ind Est Mallow   Co. Cork	(022)21933	['Glass &amp; Glazers']
The Go2Guy	6 Elm Court, Fair street, Mallow   Co. Cork	(022)57795	['Glass &amp; Glazers']
Ildanach Studio	Stakehill Boherbue Mallow   Co. Cork	(029)76175	['Glass &amp; Glazers']
Bantry Glass & Glazing Ltd	Seafield Bantry Co. Cork	(027)51132	['Glass &amp; Glazers']
Direct Glass & Glazing	Unit 9 Glanmire Village Bus Pk Cork	(021)4858987	['Glass &amp; Glazers']
D Collins Window Repair Cork	Priory Court, Watergrasshill, Co. Cork	(021)2063244	['Glass &amp; Glazers', 'Glass &amp; Glazers']
PQG Glass	City North Business Park John F Connolly Road Churchfield Co. Cork	(021)4211666	['Glass &amp; Glazers']
Douglas Glass	Unit 4 St Patricks Woollen Mills Douglas Cork	(021)4361050	['Glass &amp; Glazers']
Waters Glass Ltd	Unit A, Marina Commercial Park, Centre Park Road, Cork Co. Cork	(021)4840664	['Glass &amp; Glazers']
AAA Mobile Windscreens	Services This Area	(021)6017772	['Glass &amp; Glazers']
Glass Fibre & Resin Supplies Ltd	Rosehill Ind Est Ballinacurra Midleton Co. Cork	(021)6019337	['Glass &amp; Glazers']
Aqua Window Cleaning and Power Washing	Stoneview Blarney Cork Co. Cork	(021)6017092	['Glass &amp; Glazers']
Window Group Services	Ealga Coast rd Fountainstown Co. Cork	(021)4831063	['Glass &amp; Glazers']
D Collins Glazing Repairs	Glanmire	(021)2063244	['Glass &amp; Glazers']
John Jones Window Cleaning	Clonpriest-West Youghal Co. Cork	(024)98372	['Glass &amp; Glazers']
O'Connell Cleaning Services		(021) 483 2919	['Glass &amp; Glazers']
Shanahan Power Washing & Window Cleaning	Whitegates, Co. Cork	(086)0655959	['Glass &amp; Glazers']
East Cork Glass Fibre Ltd	Gurteenina Midleton Cork Co. Cork	(021)4652340	['Glass &amp; Glazers', 'Glass &amp; Glazers']
Kelly Window Cleaning	Cork Co. Cork	(087)9542828	['Glass &amp; Glazers']
Cork Windscreen Centre	Unit 1 Westpoint Trade Centre Link rd Ballincollig Cork Co. Cork	(086)2541535	['Glass &amp; Glazers']
Hayden Wood Ltd	Droumleena Dunmanway Co. Cork	(023)8856077	['Glass &amp; Glazers']
ecofuel.ie		1850 940 080	['Green Guide - Associations &amp; Organisations - Renewable Energy', 'Green Guide - Associations &amp; Organisations - Renewable Energy']
Donovan Marian	3 Chapel Lane, Co. Cork	(022)42413	['GPS']
Brennan Dr Kevin MRCGP	The Red House Family Practice  Mallow   Co. Cork	(022)21478	['GPS']
Hyde Dr Betty	Cork rd Clinic Cork rd Mallow   Co. Cork	(022)21579	['GPS']
Kelleher Dr Catherine	The Surgery Newtwopot Hse Mallow   Co. Cork	(022)43406	['GPS']
Bourke Dr John	Liscarroll Mallow Co Cork    Co. Cork	(022)48340	['GPS', 'GPS']
O'Flynn Dr Mary	Medical cntr Carmichael st Mallow   Co. Cork	(022)51992	['GPS']
Molony Dr David	The Red House Family Practice  Mallow   Co. Cork	(022)21478	['GPS']
Medical Centre	Mallow Primary Healthcare Centre Mallow Business Park Gould's Hill Mallow P51 Y8EC Co. Cork	(022)21551	['GPS']
Heffernan Dr Anthony	Old Cork rd Mallow   Co. Cork	(022)21579	['GPS']
Christopher Dr Wm	Westend Mallow    Co. Cork	(022)21508	['GPS']
Heffernan Dr	Cork rd Clinic Mallow   Co. Cork	(022)21579	['GPS']
Brosnan Dr Eibhlis	Medical Ctr The Laurels Castlepark Mallow  P51TK53 Co. Cork	(022)20134	['GPS']
Goodall, Dr Vanessa	The Red House Family Practice  Mallow   Co. Cork	(022)21478	['GPS']
Woodview Family Doctors	Sallybrook, Glanmire, T45 RR67,	(021)4821111	['GPS']
Cork Women's Clinic	Cardinal's Way Bishopstown Road Wilton	(021)4348931	['GPS']
Owenabue Medical Centre		(021) 437 4997	['GPS', 'GPS']
Glanmire Medical Centre	The Glanmire Medical Centre Crestfield Glanmire Co Cork	(021)4821280	['GPS']
O'Regan Dr Brendan	1 Bromley pk, Donnybrook, Dougla,	(021)4892061	['GPS']
Murphy Dr Aine	Barnavara Hill, Glanmire, Co Cork,	(021)4558850	['GPS']
Ballycotton Medical Centre	Ballycotton, Co. Cork	(021)4647806	['GPS']
O'Sullivan Dr Edward M	La Verna Bishopstown, Cork	(021)4541194	['GPS', 'GPS']
O'Sullivan Dr Ronan MB MRCGP	Suite 6, Block B Sth Terrace Medical Ctr, Cork,	(021)4276677	['GPS']
Herlihy Dr Ml	Sackville st, Dunmanway, P47Y868, Co. Cork	(023)8845131	['GPS']
Gaughran Dr Claire MB MRCGP	Main st, Co. Cork	(021)4372635	['GPS']
Curaheen Clinic	Curraheen Road Bishopstown Cork	(021)4348005	['GPS']
Cantillon Dr Jacqueline MB MICGP	Main st, Co. Cork	(021)4372635	['GPS']
Mulcahy Dr Diarmuid	Harbour's Brink Medical Ctr Lr Aghada Co. Cork	(021)6019881	['GPS']
Grenagh Medical Centre	Grenagh, Grenagh, T23FAA8, Co. Cork	(021)4886672	['GPS']
Dr Barra O'Tuama	Grenagh, Grenagh, Co. Cork	(021)4886672	['GPS']
Kennelly Welding Works		(068) 32530	['Galvanised Sheets', 'Galvanised Sheets']
Irish Pioneer Works Ltd		(021) 496 4299	['Galvanising']
Irish Pioneer Works (Fabricators) Ltd	Kinsale rd Cork	(021)4964299	['Galvanising', 'Galvanising']
Galco (Cork) Ltd	Tramore rd Cork   Co. Cork	(021)4312411	['Galvanising']
John Keane & Son Ltd	Unit 16 Togher Ind Est Togher Cork	(021)4321730	['Galvanising', 'Galvanising']
ORNAMENTAL IRONWORKS	Rathfilode Watergrasshill   Co. Cork	(086)3607756	['Galvanising']
Clane Steel Garden Sheds Ltd	Clane Ind Est Kilcock Rd Clane Co. Kildare	(045)892559	['Galvanising']
Clane Cladding Ltd	Clane Ind Est Kilcock Rd Clane Co. Kildare	(045)892559	['Galvanising']
Friary Ironworks	Friar st Nenagh Co. Tipperary	(067)32529	['Galvanising']
Irish International Trading Corp	Tramore rd Cork	(021)4705800	['Heating Equipment Hire', 'Heating Equipment Hire']
Aska Sykes Ltd	Castlelyons Co Cork   Co. Cork	(1850)200688	['Heating Equipment Hire', 'Heating Equipment Hire', 'Heating Equipment Hire', 'Heating Equipment Hire', 'Heating Equipment Hire', 'Heating Equipment Hire']
Mark Eire BV	Coolea Macroom Cork    Co. Cork	(026)45334	['Heating Equipment Hire', 'Heating Equipment Hire']
Ryall's Industrial Equipment	Watergrasshill	(021)4889313	['Heating Equipment Hire', 'Heating Equipment Hire']
Cross Hire Limited		(01) 404 8770	['Heating Equipment Hire', 'Heating Equipment Hire']
Rentokil Pest Control Sligo Branch		(071) 913 3339	['Heating Equipment Hire']
Fort Plant Sales Ltd	10A Upper Ballymount rd   24	(01)4565366	['Heating Equipment Hire']
Irohaul Ltd		(022) 43701	['Heavy Haulage', 'Heavy Haulage']
Mallow Transport Ltd	Ballyellis, Mallow, Co. Cork	(022)22986	['Heavy Haulage', 'Heavy Haulage']
O'Connor Patk	Rockvale Mourneabbey Mallow    Co. Cork	(022)29124	['Heavy Haulage']
Drum Transport Ltd.	Brittas, Lombardstown Mallow   Co. Cork	(022)47264	['Heavy Haulage']
Cullinane Jeremiah	Ballymorisheen Grenagh    Co. Cork	(021)4886400	['Heavy Haulage']
O'Hanlon Transport (Mourneabbey) Ltd	Monaparson Mourneabbey Mallow    Co. Cork	(022)29290	['Heavy Haulage']
Looney Transport	Graigue Shanballymore Mallow    Co. Cork	(022)25170	['Heavy Haulage']
Hartnett Donal	19 Canon Sheehan pl Mallow   Co. Cork	(022)42407	['Heavy Haulage']
Kenny Transport	Greystones Grenagh    Co. Cork	(021)4886186	['Heavy Haulage']
Drom Transport Ltd	Brittas Lombardstown Mallow   Co. Cork	(022)47264	['Heavy Haulage']
O'Connor David	Ballysimon Dromahane Mallow    Co. Cork	(021)7333023	['Heavy Haulage']
Crowley Transport	Behernagh Lower, T56 S97O, Co. Cork	(086)3805115	['Heavy Haulage']
O'Donovan Transport (Cork) Ltd	Main st, Co. Cork	(021)4883399	['Heavy Haulage']
Nolan Alan Transport (Belchem Ltd)	Bohermore Bagenalstown (Office Manager Avril) Co. Carlow	(087)7987537	['Heavy Haulage']
K & L Deliveries Ltd	Mountleader Ind Est Millstreet Co Cork Co. Cork	(029)70163	['Heavy Haulage']
Kelcro Transport Cork		(029) 70296	['Heavy Haulage']
Frank McCarthy Haulage Ltd	Grange Ovens, Co. Cork		['Heavy Haulage']
Murphy Transport Ltd	Maryfield Ballinlough rd, Cork,	(021)4916500	['Heavy Haulage']
Butler Joe	Innishannon, Cork, Co. Cork	(021)4775153	['Heavy Haulage']
Hayes Haulage Ltd	Upper Granig Minane Bridge Co. Cork	(021)4848007	['Heavy Haulage']
Berehaven Lodge	Cappaghavuckee Gortagraffer Castletown-Bearhaven P75 D653 Co. Cork	(027)71464	['Holiday Homes Ireland']
Trabolgan Holiday Village	Trabolgan Holiday Village Whitegate  P25 HY10 Co. Cork	(021)4661551	['Holiday Homes Ireland']
Youghal Holiday Homes	Moanleigh Clashadonna Youghal   P36YK09 Co. Cork	(024)93546	['Holiday Homes Ireland']
Lavalley Holiday Cottages	Desert Clonakilty    Co. Cork	(023)8833472	['Holiday Homes Ireland']
Coulaghbaycottages	Cahirkeem Eyeries Beara   Co. Cork	(027)74116	['Holiday Homes Ireland']
Cape Clear Holiday Homes	North Harbour Cape Clear    Co. Cork	(028)39153	['Holiday Homes Ireland']
Lee Valley Golf and Country Club	Clashanure Ovens    Co. Cork	(021)7331721	['Holiday Homes Ireland']
Cork Student Village	Victoria Cross Cork	(021)4345344	['Holiday Homes Ireland']
Castle Guest House & Holiday Cottages	Castletownshend Skibbereen    Co. Cork	(028)36100	['Holiday Homes Ireland']
Cashel Fean Development Ltd	Dromgarriff Glengariff    Co. Cork	(027)63504	['Holiday Homes Ireland']
DeansHall Summer Village	Crosses Green Proby Quay Cork	(021)4312623	['Holiday Homes Ireland']
Pier Holiday Homes	Union Hall West Cork   Co. Cork	(028)34640	['Holiday Homes Ireland']
Lislee House	Courtmacsherry  P72EY18 Co. Cork	(023)8840126	['Holiday Homes Ireland']
Holiday Makers	Poll an Uisce High st Schull  P81 X046 Co. Cork	(028)28350	['Holiday Homes Ireland']
South Brook Apartments	22 South tce Cork	(021)4319249	['Holiday Homes Ireland']
Clona Holiday Homes Ltd	8 McCurtain Hill Clonakility    Co. Cork	(023)8835009	['Holiday Homes Ireland']
Blue Horizon	Garrettstown Kinsale    Co. Cork	(021)4778217	['Holiday Homes Ireland']
Blairs Cove House	Durrus Cork   P75KH77 Co. Cork	(027)61127	['Holiday Homes Ireland']
Kinsale Holiday Village	Glanbeg Kinsale    Co. Cork	(021)4772488	['Holiday Homes Ireland']
Vibes & Scribes	21 Lavitts Qy  Cork  Co. Cork	(021)4279535	['Haberdashers', 'Haberdashers']
Hemline Sewing Ltd.(Wholesale)	Baldoyle Ind Est 13	(01)8322726	['Haberdashers']
Colman Doyle Interiors	98 South Main Street    Co. Wexford	(053)9142084	['Haberdashers']
Stitch n Knit	Sean Costello Street  Athlone  Co. Westmeath	(090) 6450524	['Haberdashers']
Sew Irish: Wild Ireland Haberdashery	Knockogonnell   Inagh V95 XT28 Co. Clare	(065)6725935	['Haberdashers']
West of Eden	Main st Ballaghaderreen   Co. Roscommon	(094)9861016	['Haberdashers']
Carlow Fabric and Crafts	Haddens Car Park Bridewell Lane Carlow Town   Co. Carlow	(059)9131995	['Haberdashers']
Feathers Of Dublin	2  Grangewood Dun Laoghaire   Co. Dublin	(01)2350962	['Haberdashers']
The Gingham Duck	34 High Street  Sligo   Co. Sligo	(071)914 4422	['Haberdashers']
